Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005515~protein binding	91	44.390243902439025	2.606345099133607E-17	NRP1, MAPKBP1, DOCK8, PLEKHB1, DYSF, FMN1, VLDLR, NR3C1, CELSR2, SLC8A1, PSTPIP2, TUBB3, MYC, GSG1, SOSTDC1, HOXA1, SOX9, DACT1, TLE4, EPHA4, ABCC2, MSX2, UNC5B, HGF, WNT5A, SOX13, EN1, UNC5C, GAB2, MYRIP, MTSS1, TGFBR2, SYTL2, RGMA, TIAM2, TBC1D1, ISL2, DNAJC1, MYCN, DOK5, TLN2, LMX1B, CD44, EPHA2, SKAP2, GRIA1, DLX2, DLX3, DLX5, CHRNA7, NRXN3, NEDD9, PIK3R1, TNFRSF11A, PRICKLE1, GATA3, SLC7A1, MESD, BARX2, CRHR1, NFIL3, MAP2, SMYD2, EIF4EBP1, BMF, MSX1, PDLIM5, TFAP2A, TFAP2B, TGFB2, JUN, PCDH9, EYA1, WNT7A, SORBS2, SMAD6, POU4F1, TBX3, VEGFA, PTPRD, BMP4, ZFP322A, LHX2, GJB6, KIF26B, LNX1, ALPL, SPRY1, CPEB2, RETREG1, ITM2B	198	5596	28924	2.3755099241160718	1.2614710279806658E-14	1.2614710279806658E-14	1.219769506394528E-14
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	28	13.658536585365855	1.1793053906024263E-15	DLX2, DLX3, DLX4, DLX5, HOXC13, GATA3, NR3C1, BARX2, CREB3L1, HOXA1, SOX9, MSX1, HOXC9, TFAP2A, IRX1, TFAP2B, JUN, IRX5, MSX2, EN1, KLF14, POU4F1, ETV4, TBX3, ISL2, MYCN, SP8, LMX1B	198	551	28924	7.4233441492969625	5.910827383104333E-13	2.8539190452578715E-13	2.7595746140096774E-13
GOTERM_MF_DIRECT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	36	17.560975609756095	5.301826426329791E-15	DLX2, DLX3, DLX4, DLX5, HOXC13, GATA3, BARX2, SALL3, MYC, CREB3L1, ZIM1, HOXA1, SOX9, MSX1, HOXC9, BHLHA9, TFAP2A, IRX1, TFAP2B, JUN, IRX5, MSX2, IRX4, SOX13, EN1, KLF14, POU4F1, ETV4, TBX3, ZFP322A, ISL2, MYCN, LHX2, SP6, SP8, LMX1B	198	1043	28924	5.042098840756559	2.5792701308091637E-12	8.553613301145397E-13	8.270849225074474E-13
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription by RNA polymerase II	41	20.0	3.191250149819558E-13	DLX2, DLX3, DLX4, DLX5, HOXC13, GATA3, NR3C1, BARX2, SALL3, MYC, CREB3L1, ZIM1, HOXA1, SOX9, MSX1, HOXC9, BHLHA9, TFAP2A, IRX1, WNT10B, TFAP2B, JUN, IRX5, MSX2, IRX4, SOX13, EN1, KLF14, SMAD6, POU4F1, ETV4, TBX3, CPPED1, VEGFA, ZFP322A, MYCN, LHX2, SP6, SP8, LMX1B, TOX	202	1569	29712	3.8436287223368613	6.624061299476125E-10	5.819810367449746E-10	5.393697084283868E-10
GOTERM_BP_DIRECT	GO:0030326~embryonic limb morphogenesis	12	5.853658536585367	5.606753725866807E-13	BMP4, TGFB2, CYP26B1, MSX2, DLX5, WNT5A, WNT7A, EN1, SP8, LMX1B, MSX1, PRICKLE1	202	64	29712	27.57920792079208	1.1639356145565216E-9	5.819810367449746E-10	5.393697084283868E-10
INTERPRO	IPR017970:Homeobox_CS	18	8.780487804878048	9.780977445212681E-13	IRX1, DLX2, DLX3, MSX2, IRX5, DLX4, DLX5, IRX4, EN1, HOXC13, POU4F1, BARX2, ISL2, LHX2, HOXA1, MSX1, LMX1B, HOXC9	203	183	22271	10.791084551401116	7.521638867302727E-10	7.521571655368552E-10	7.453104813252063E-10
UP_KW_MOLECULAR_FUNCTION	KW-0217~Developmental protein	42	20.48780487804878	1.3691907913867458E-12	NRP1, DLX2, DLX3, DLX4, DLX5, CTNND2, PLEKHB1, HOXC13, CELSR2, ZFP36L2, LBH, CREB3L1, FLRT1, ENC1, RSPO2, HOXA1, MSX1, HOXC9, DACT1, BHLHA9, FZD1, WNT10B, EPHA4, EYA1, MSX2, UNC5B, WNT5A, IRX4, WNT7A, EN1, UNC5C, POU4F1, TBX3, VEGFA, BMP4, ISL2, SMOC1, KIF26B, FAT3, SPRY1, LMX1B, PLPP3	141	1081	12454	3.4317318479737042	6.846190281351028E-11	3.4229769784668644E-11	3.4229769784668644E-11
UP_KW_MOLECULAR_FUNCTION	KW-9996~Developmental protein	42	20.48780487804878	1.3691907913867458E-12	NRP1, DLX2, DLX3, DLX4, DLX5, CTNND2, PLEKHB1, HOXC13, CELSR2, ZFP36L2, LBH, CREB3L1, FLRT1, ENC1, RSPO2, HOXA1, MSX1, HOXC9, DACT1, BHLHA9, FZD1, WNT10B, EPHA4, EYA1, MSX2, UNC5B, WNT5A, IRX4, WNT7A, EN1, UNC5C, POU4F1, TBX3, VEGFA, BMP4, ISL2, SMOC1, KIF26B, FAT3, SPRY1, LMX1B, PLPP3	141	1081	12454	3.4317318479737042	6.846190281351028E-11	3.4229769784668644E-11	3.4229769784668644E-11
GOTERM_BP_DIRECT	GO:0030182~neuron differentiation	18	8.780487804878048	1.883920370911105E-12	IRX1, WNT10B, IRX5, EDN3, IRX4, WNT5A, EN1, WNT7A, ACSL4, GATA3, POU4F1, PTPRD, ISL2, LHX2, TUBB3, DOK5, LMX1B, EPHA2	202	253	29712	10.464837788126639	3.911054147209825E-9	1.3036728966704847E-9	1.2082209312109887E-9
GOTERM_BP_DIRECT	GO:0003151~outflow tract morphogenesis	11	5.365853658536586	2.433459115337203E-11	FZD1, TFAP2A, BMP4, TGFB2, JUN, EYA1, MSX2, PRICKLE1, TBX3, VEGFA, TGFBR2	202	66	29712	24.51485148514851	5.051872264960622E-8	1.2629652808600084E-8	1.1704938344771948E-8
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	34	16.585365853658537	4.143179758084682E-11	DLX2, DLX3, DLX5, PIK3R1, HOXC13, GATA3, NR3C1, BARX2, MYC, CREB3L1, HOXA1, SOX9, MSX1, TFAP2A, WNT10B, TFAP2B, JUN, EYA1, WNT5A, WNT7A, EN1, LMO7, KLF14, POU4F1, ETV4, TBX3, VEGFA, RGMA, BMP4, ISL2, MYCN, LHX2, LMX1B, TOX	202	1284	29712	3.8948829462385492	8.601230294669193E-8	1.72024823555676E-8	1.5942955709109856E-8
GOTERM_BP_DIRECT	GO:0051216~cartilage development	12	5.853658536585367	5.5100553433108626E-11	BMP4, DLX2, MSX2, WNT5A, WNT7A, ITGB8, ENPP1, MSX1, SOX9, GATA3, CD44, TGFBR2	202	96	29712	18.386138613861384	1.1438881986070015E-7	1.9064791487855586E-8	1.76689108008835E-8
GOTERM_MF_DIRECT	GO:0001228~DNA-binding transcription activator activity, RNA polymerase II-specific	22	10.731707317073171	8.24590752408072E-11	TFAP2A, TFAP2B, DLX2, JUN, DLX3, DLX5, IRX4, HOXC13, GATA3, NR3C1, POU4F1, ETV4, BARX2, TBX3, MYCN, LHX2, MYC, CREB3L1, HOXA1, MSX1, SOX9, LMX1B	198	521	28924	6.168479419918959	3.99101743875363E-8	9.977548104137672E-9	9.647711803174442E-9
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding	30	14.634146341463413	1.3334434153425716E-10	DLX2, DLX3, DLX4, DLX5, HOXC13, GATA3, NR3C1, NFIL3, MYC, ZIM1, HOXA1, SOX9, HOXC9, TFAP2A, IRX1, TFAP2B, JUN, IRX5, MSX2, IRX4, SOX13, EN1, KLF14, POU4F1, ETV4, TBX3, MYCN, LHX2, SP6, SP8	198	1043	28924	4.201749033963798	6.453865630806632E-8	1.2907732260516093E-8	1.248103036760647E-8
INTERPRO	IPR001356:HD	18	8.780487804878048	3.9583960159186926E-10	IRX1, DLX2, DLX3, MSX2, IRX5, DLX4, DLX5, IRX4, EN1, HOXC13, POU4F1, BARX2, ISL2, LHX2, HOXA1, MSX1, LMX1B, HOXC9	203	267	22271	7.396136602645708	3.0440059328729063E-7	1.5220032681207372E-7	1.508148882065022E-7
GOTERM_BP_DIRECT	GO:0016055~Wnt signaling pathway	15	7.317073170731707	4.945414050426006E-10	TLE4, FZD1, WNT10B, DLX3, WNT5A, KREMEN1, WNT7A, PRICKLE1, APCDD1, MESD, CELSR2, MYC, ENPP1, CD44, DACT1	202	225	29712	9.805940594059406	1.0266674358438976E-6	1.4666685098120554E-7	1.3592823761456622E-7
GOTERM_BP_DIRECT	GO:0006366~transcription by RNA polymerase II	15	7.317073170731707	1.2099260172352417E-9	TFAP2A, WNT10B, TFAP2B, JUN, MSX2, PIK3R1, GATA3, ETV4, BARX2, BMP4, NFIL3, MYC, SP6, MSX1, SOX9	202	241	29712	9.1549237911343	2.511803323113071E-6	3.139758014725452E-7	2.9098720714507564E-7
UP_KW_DOMAIN	KW-0371~Homeobox	18	8.780487804878048	1.8409869165536028E-9	IRX1, DLX2, DLX3, MSX2, IRX5, DLX4, DLX5, IRX4, EN1, HOXC13, POU4F1, BARX2, ISL2, LHX2, HOXA1, MSX1, LMX1B, HOXC9	170	239	14896	6.599261629337928	4.050171142910841E-8	4.050171216417926E-8	3.6819738331072056E-8
UP_SEQ_FEATURE	DNA_BIND:Homeobox	17	8.292682926829269	1.9094727006350316E-9	IRX1, DLX2, DLX3, MSX2, IRX5, DLX4, DLX5, EN1, HOXC13, POU4F1, BARX2, ISL2, LHX2, HOXA1, MSX1, LMX1B, HOXC9	205	255	22253	7.236747967479675	1.7223428857571221E-6	1.7223443759727984E-6	1.7032496489664482E-6
